nodeid,coreid,dbid_load,dbid_perf
0,0,0,0
0,2,1,0
0,4,-1,1
0,6,-1,1
0,8,-1,-1
0,10,-1,-1
0,12,-1,-1
0,14,-1,-1
0,16,-1,-1
0,18,-1,-1
0,20,-1,-1
0,22,-1,-1
0,24,-1,-1
0,26,-1,-1
0,28,-1,-1
0,30,-1,-1
0,32,-1,-1
0,34,-1,-1
0,36,-1,-1
0,38,-1,-1
0,40,-1,-1
0,42,-1,-1
0,44,-1,-1
0,46,-1,-1
1,1,-1,-1
1,3,-1,-1
1,5,-1,-1
1,7,-1,-1
1,9,-1,-1
1,11,-1,-1
1,13,-1,-1
1,15,-1,-1
1,17,-1,-1
1,19,-1,-1
1,21,-1,-1
1,23,-1,-1
1,25,-1,-1
1,27,-1,-1
1,29,-1,-1
1,31,-1,-1
1,33,-1,-1
1,35,-1,-1
1,37,-1,-1
1,39,-1,-1
1,41,-1,-1
1,43,-1,-1
1,45,-1,-1
1,47,-1,-1
